Date,Box Number,Session Number,Piece Number,Seat,Watts,Catch Angle,Finish Angle,Catch Slip,Finish Slip,Length,Effective Length,Rate,Speed,Average Watts,Variance Watts,Average Effective Length
2023-03-11,5325,140,1,1,283,-55.9,30.0,8.0,14.3,85.9,63.6,33.6,5.91,371.0,1655.428571428571,70.2125
2023-03-18,5239,727,3,1,260,-57.5,28.6,6.4,10.2,86.1,69.5,35.4,5.4,293.375,644.5535714285712,71.475
2023-03-18,5239,727,1,1,312,-57.7,28.4,5.1,8.8,86.1,72.2,35.4,5.58,324.875,455.26785714285694,73.0375
2023-03-18,5239,727,2,1,291,-57.4,29.0,6.3,10.0,86.4,70.1,35.0,4.84,311.75,392.7857142857144,71.75
2023-03-18,5253,425,2,1,310,-50.1,28.7,2.1,8.2,78.8,68.5,35.5,4.93,317.375,189.98214285714303,68.0
2023-03-18,5253,425,1,1,324,-50.9,29.3,1.5,8.5,80.2,70.2,36.3,5.74,337.375,125.41071428571423,69.35
2023-03-18,5324,156,3,1,308,-58.3,27.0,1.3,11.1,85.3,72.9,37.2,5.82,344.0,933.714285714286,70.375
2023-03-18,5253,425,3,1,287,-49.7,29.4,2.5,10.1,79.1,66.5,36.6,5.63,311.0,362.00000000000017,67.375
2023-03-18,5324,156,2,1,302,-58.6,26.9,1.6,11.2,85.5,72.7,35.3,5.04,338.625,1170.267857142857,70.525
2023-03-18,5324,156,1,1,323,-59.0,27.3,1.2,11.1,86.3,74.0,36.5,5.91,368.75,1043.928571428571,72.75
2023-03-18,5325,150,2,1,324,-54.9,30.7,7.1,7.1,85.6,71.4,33.9,5.03,344.0,358.57142857142856,72.95
2023-03-18,5325,150,3,1,341,-56.5,31.1,6.0,6.8,87.6,74.8,35.7,5.88,359.25,563.3571428571423,74.175
2023-03-18,5325,150,1,1,363,-56.8,31.1,5.9,6.8,87.9,75.2,34.9,5.91,374.0,266.2857142857143,75.3875
2023-03-22,5325,155,1,1,322,-57.4,30.3,0.8,12.5,87.7,74.4,35.6,5.76,377.375,816.8392857142859,74.7
2023-03-22,5325,155,2,1,297,-56.8,30.1,2.4,13.7,86.9,70.8,34.8,5.29,356.0,937.4285714285714,72.5125
2023-03-22,5325,155,3,1,280,-56.6,30.0,2.2,14.2,86.6,70.2,34.9,5.53,338.75,777.0714285714283,72.8125
2023-03-22,5239,734,1,1,294,-58.6,27.2,6.0,7.9,85.8,71.9,32.8,5.29,309.5,678.8571428571435,74.5125
2023-03-22,5239,734,2,1,285,-58.1,27.3,6.2,8.6,85.4,70.6,33.3,4.92,297.375,328.8392857142861,71.85
2023-03-22,5239,734,3,1,257,-58.1,27.2,6.7,8.3,85.3,70.3,33.2,5.24,286.0,520.5714285714286,72.025
2023-03-22,5253,429,1,1,338,-52.1,29.1,1.5,8.7,81.2,71.0,35.8,5.58,332.625,136.2678571428573,71.075
2023-03-22,5253,429,2,1,293,-50.0,28.4,2.7,8.8,78.4,66.9,35.3,5.11,295.25,1506.5000000000002,67.5875
2023-03-22,5253,429,3,1,315,-51.2,28.3,1.7,9.0,79.5,68.8,36.8,5.55,322.25,279.9285714285712,69.3875
2023-03-22,5324,161,1,1,339,-57.5,27.9,4.5,6.9,85.4,74.0,37.0,5.67,362.0,653.1428571428571,72.2875
2023-03-22,5324,161,2,1,310,-56.2,27.8,4.6,8.2,84.0,71.2,36.4,5.23,339.625,1053.982142857143,69.875
2023-03-22,5324,161,3,1,283,-56.3,28.2,4.3,8.0,84.5,72.2,37.6,5.57,332.25,1465.6428571428569,69.85
2023-04-04,5325,199,2,1,287,-55.4,31.4,7.3,14.2,86.8,65.3,34.4,5.68,346.75,911.9285714285712,68.9875
2023-04-04,5325,199,3,1,259,-55.3,31.1,8.2,15.3,86.4,62.9,33.3,4.87,342.125,1458.4107142857142,68.075
2023-04-04,5325,199,1,1,301,-56.1,31.8,7.5,14.3,87.9,66.1,31.1,4.96,371.125,1108.982142857143,69.95
2023-04-04,5324,213,2,2,283,-54.9,26.6,8.1,14.8,81.5,58.6,35.7,5.68,315.42857142857144,456.9523809523807,65.48571428571428
2023-04-04,5253,473,3,1,291,-48.6,28.7,6.0,10.6,77.3,60.7,35.6,4.63,297.2857142857143,1744.2380952380952,59.42857142857143
2023-04-04,5253,473,1,1,329,-49.7,28.4,5.4,9.8,78.1,62.9,36.5,5.01,328.625,2420.839285714286,61.95
2023-04-04,5324,213,3,2,238,-52.1,26.3,9.2,14.7,78.4,54.5,34.1,4.69,303.85714285714283,1040.4761904761906,63.714285714285715
2023-04-04,5253,473,2,1,311,-50.9,29.2,5.6,10.2,80.1,64.3,35.5,5.48,305.57142857142856,1137.2857142857142,62.285714285714285
2023-04-04,5324,213,1,2,341,-54.3,27.0,6.6,12.7,81.3,62.0,34.5,5.02,331.57142857142856,391.6190476190475,66.52857142857142
2023-04-04,5239,786,3,1,173,-57.9,27.5,17.7,10.7,85.4,57.0,32.7,4.52,287.375,2356.2678571428564,65.35
2023-04-04,5239,786,2,1,199,-58.1,27.6,18.4,8.7,85.7,58.6,33.4,5.44,290.75,1639.642857142857,66.2
2023-04-04,5239,786,1,1,187,-57.9,27.9,17.2,10.7,85.8,57.9,33.2,4.77,303.0,2437.142857142858,66.175
2023-04-12,5239,809,1,1,122,-53.2,28.2,29.0,14.4,81.4,38.0,35.2,4.99,275.42857142857144,5034.619047619049,60.785714285714285
2023-04-12,5239,809,2,1,100,-51.3,27.4,30.9,14.2,78.7,33.6,34.6,4.96,264.42857142857144,5634.285714285714,59.74285714285714
2023-04-12,5239,809,3,1,118,-52.2,27.6,30.2,14.4,79.8,35.2,35.2,4.8,258.85714285714283,4089.809523809524,59.31428571428571
2023-04-12,5325,205,1,1,327,-55.1,31.1,6.1,13.0,86.2,67.1,38.0,5.57,345.75,5217.357142857142,66.625
2023-04-12,5325,205,2,1,296,-54.0,30.4,7.0,14.4,84.4,63.0,37.2,5.55,321.375,5828.553571428572,66.0
2023-04-12,5325,205,3,1,307,-55.3,30.6,6.5,14.3,85.9,65.1,37.3,5.47,325.75,4625.357142857143,67.35
2023-04-12,5324,242,1,1,303,-55.3,30.1,9.7,12.3,85.4,63.4,36.9,5.55,369.375,1389.4107142857144,68.775
2023-04-12,5324,242,2,1,285,-53.1,29.8,9.9,11.8,82.9,61.2,35.6,5.32,317.125,390.12500000000017,64.1625
2023-04-12,5324,242,3,1,310,-53.7,29.9,9.5,11.9,83.6,62.2,37.9,5.42,348.25,580.5000000000001,65.1125
2023-04-12,5253,486,3,1,315,-56.4,27.6,7.6,9.4,84.0,67.0,36.0,5.19,309.875,1282.9821428571431,63.5
2023-04-12,5253,486,1,1,337,-56.8,28.3,7.1,9.2,85.1,68.8,34.6,5.23,304.625,1643.6964285714282,65.0125
2023-04-12,5253,486,2,1,317,-55.8,27.7,7.9,9.8,83.5,65.8,35.2,5.36,312.75,1781.357142857143,64.225
2023-04-19,5325,222,1,1,338,-57.3,30.0,8.3,10.5,87.3,68.5,36.8,5.72,360.875,761.2678571428572,69.3
2023-04-19,5325,222,2,1,305,-55.5,29.7,9.5,11.3,85.2,64.4,35.9,5.16,332.5,566.0000000000005,67.4875
2023-04-19,5324,253,1,1,331,-57.1,30.5,9.1,11.3,87.6,67.2,35.7,5.65,357.0,899.7142857142854,66.0625
2023-04-19,5324,253,2,1,322,-54.6,30.3,9.2,11.4,84.9,64.3,35.6,5.19,342.75,310.50000000000006,64.1125
2023-04-19,5324,253,3,1,314,-55.9,30.5,9.0,11.5,86.4,65.9,35.4,5.42,330.0,388.00000000000006,64.1875
2023-04-19,5325,222,3,1,324,-55.4,30.5,5.8,13.6,85.9,66.5,36.7,5.58,339.875,612.4107142857144,67.8875
2023-04-26,5325,248,1,1,445,-58.2,28.8,11.0,5.5,87.0,70.5,37.6,5.9,425.0,1075.4285714285722,71.1625
2023-04-26,5325,248,2,1,426,-57.6,28.4,11.2,6.1,86.0,68.7,38.1,5.86,415.25,780.2142857142857,69.6
2023-04-26,5325,248,3,1,430,-57.4,28.5,11.1,6.3,85.9,68.5,38.5,5.92,416.75,1183.3571428571431,69.5875
2023-04-26,5253,513,1,1,403,-54.4,29.0,2.9,9.6,83.4,70.9,36.2,5.65,381.125,1653.839285714286,69.025
2023-04-26,5253,513,2,1,366,-53.6,28.0,3.6,10.6,81.6,67.4,37.0,5.59,351.57142857142856,162.2857142857143,67.98571428571428
2023-04-26,5253,513,3,1,375,-53.3,28.0,3.0,11.1,81.3,67.2,37.2,5.69,356.2857142857143,246.9047619047618,66.8
2023-05-04,5325,201,1,1,305,-53.9,32.2,6.3,13.6,86.1,66.2,35.4,5.75,367.875,860.6964285714283,69.45
2023-05-04,5325,201,2,1,274,-54.5,33.0,6.5,15.0,87.5,66.0,32.4,4.7,316.25,650.4999999999997,66.775
2023-05-04,5325,201,3,1,289,-54.1,32.3,6.9,14.7,86.4,64.8,35.9,5.69,346.625,1782.2678571428564,66.5375
2023-05-04,5324,215,1,1,339,-54.1,28.9,10.2,8.2,83.0,64.6,37.3,5.78,356.0,567.1428571428572,65.525
2023-05-04,5253,474,1,1,286,-52.5,29.5,5.5,12.8,82.0,63.7,35.2,5.52,313.375,583.9821428571429,63.375
2023-05-04,5253,474,2,1,304,-51.9,29.0,4.6,11.3,80.9,65.0,34.4,4.7,303.5,968.5714285714286,61.4125
2023-05-04,5253,474,3,1,274,-51.7,28.7,5.9,13.0,80.4,61.5,35.8,5.38,287.625,1190.8392857142858,60.3375
2023-05-04,5239,788,1,1,187,-55.8,27.1,18.6,8.9,82.9,55.4,33.2,5.32,281.25,2367.3571428571427,65.45
2023-05-04,5239,788,2,1,181,-56.2,27.0,16.5,9.4,83.2,57.3,32.4,4.38,255.875,2008.9821428571431,63.2375
2023-05-04,5239,788,3,1,213,-57.1,27.2,12.9,7.8,84.3,63.6,34.8,5.29,281.125,1348.982142857143,64.7875
2023-05-06,5253,553,3,1,311,-54.0,27.1,7.5,9.8,81.1,63.8,36.9,5.75,309.875,614.1249999999999,62.7875
2023-05-06,5324,296,1,1,364,-54.6,28.5,4.4,12.0,83.1,66.7,37.5,6.01,371.5,70.28571428571426,66.7375
2023-05-06,5324,296,3,1,348,-53.3,28.9,3.9,12.7,82.2,65.6,37.6,6.04,362.0,984.0,65.45
2023-05-06,5253,553,2,1,328,-53.9,27.3,7.5,9.7,81.2,64.0,37.1,5.84,321.25,292.7857142857143,63.2375
2023-05-06,5253,553,1,1,331,-54.2,27.4,6.9,9.2,81.6,65.5,37.6,5.9,337.875,661.2678571428572,63.4625
2023-05-06,5324,296,2,1,349,-53.2,28.4,4.0,12.1,81.6,65.5,37.7,6.07,365.625,250.2678571428571,66.33749999999999
2023-05-06,5325,326,3,1,381,-56.0,28.4,10.3,6.8,84.4,67.3,38.7,6.1,385.375,977.1250000000002,68.55
2023-05-06,5325,326,2,1,388,-56.6,28.9,9.7,6.1,85.5,69.7,36.5,6.03,377.125,551.5535714285716,68.9
2023-05-06,5325,326,1,1,379,-56.6,28.8,9.5,7.2,85.4,68.7,37.0,6.06,393.0,984.5714285714284,69.6
2023-05-10,5253,561,1,1,350,-54.0,27.3,6.6,8.9,81.3,65.8,37.4,5.57,358.75,741.0714285714284,65.475
2023-05-10,5253,561,2,1,307,-53.5,27.2,7.6,9.7,80.7,63.4,36.8,5.22,319.125,1008.6964285714284,62.75
2023-05-10,5325,341,1,1,374,-57.3,28.8,11.4,6.8,86.1,67.9,37.8,5.67,395.0,1844.285714285714,69.7375
2023-05-10,5325,341,2,1,350,-57.2,28.5,11.7,7.3,85.7,66.7,37.0,5.39,366.875,856.4107142857143,67.35
2023-05-10,5324,303,1,1,374,-54.4,28.8,4.5,10.1,83.2,68.6,37.2,5.63,376.375,347.982142857143,67.2875
2023-05-10,5324,303,2,1,348,-53.3,28.8,4.8,11.0,82.1,66.3,37.5,5.38,354.125,191.83928571428572,66.05
2023-05-20,5325,381,1,1,365,-56.7,29.4,11.2,7.5,86.1,67.4,37.1,5.58,372.625,1142.267857142857,67.9
2023-05-20,5325,381,2,1,381,-57.0,29.4,10.9,6.0,86.4,69.5,37.3,5.75,359.375,1011.1249999999994,69.0625
2023-05-20,5325,381,3,1,337,-56.6,29.8,11.3,8.2,86.4,66.9,35.9,5.34,343.375,797.9821428571428,67.6625
2023-05-20,5324,340,1,1,344,-56.0,29.8,11.0,11.4,85.8,63.4,37.3,5.44,348.75,1517.0714285714294,66.15
2023-05-20,5324,340,2,1,347,-57.0,30.3,10.6,11.1,87.3,65.6,37.3,5.63,337.625,1172.267857142857,65.5375
2023-05-20,5324,340,3,1,333,-55.6,30.1,11.2,11.4,85.7,63.1,36.6,5.25,330.7142857142857,1446.2380952380952,64.37142857142858
2023-05-20,5325,384,1,1,346,-58.1,29.2,6.1,12.9,87.3,68.3,38.1,5.92,402.25,2388.5,69.76249999999999
2023-05-20,5325,384,2,1,332,-56.7,28.5,6.0,13.0,85.2,66.2,39.2,5.75,374.875,1158.4107142857138,68.1125
2023-05-23,5253,584,2,1,343,-53.6,27.6,7.2,10.9,81.2,63.1,37.2,5.55,333.57142857142856,697.6190476190477,62.371428571428574
2023-05-23,5324,367,2,1,339,-51.7,28.8,4.4,9.7,80.5,66.4,37.8,5.63,353.8333333333333,1379.7666666666669,64.16666666666667
2023-05-25,5253,593,1,1,369,-51.3,29.2,3.4,9.7,80.5,67.4,37.0,5.94,348.75,296.2142857142855,64.9625
2023-05-25,5325,390,1,1,352,-57.7,27.9,6.0,12.5,85.6,67.1,38.9,6.22,394.125,1152.6964285714282,67.8125
2023-05-26,5253,594,1,1,353,-51.7,29.5,4.2,10.8,81.2,66.2,36.9,5.73,336.85714285714283,243.1428571428568,64.28571428571429
2023-05-26,5325,399,1,1,355,-58.0,28.7,6.0,12.5,86.7,68.2,39.1,6.05,394.625,1390.267857142857,68.1125
2023-05-26,5324,376,1,1,359,-56.6,28.9,7.1,7.8,85.5,70.6,39.4,5.92,376.0,303.3333333333332,66.21428571428571
2023-11-03,5239,718,3,1,252,-58.5,26.9,11.8,9.8,85.4,63.8,32.5,5.31,279.375,553.1249999999998,64.8625
2023-11-03,5239,718,2,1,257,-58.2,27.0,10.5,10.2,85.2,64.5,32.5,4.39,267.625,1038.553571428572,62.225
2023-11-03,5239,718,1,1,287,-58.8,27.2,10.8,10.0,86.0,65.2,33.6,5.46,299.5,1077.4285714285716,65.1375
2023-11-03,5253,418,3,1,312,-50.8,30.4,4.9,10.2,81.2,66.1,34.1,5.56,304.125,911.5535714285716,65.2875
2023-11-03,5324,147,3,1,348,-54.6,29.8,8.9,9.5,84.4,66.0,34.5,5.68,335.25,365.6428571428572,64.775
2023-11-03,5324,147,2,1,347,-54.7,30.4,9.1,9.6,85.1,66.4,33.9,4.83,338.25,543.6428571428571,64.5875
2023-11-03,5324,147,1,1,369,-55.2,31.0,8.1,9.0,86.2,69.1,33.8,5.84,362.5,718.2857142857141,67.7875
2023-11-03,5253,418,2,1,325,-51.0,29.9,3.7,9.3,80.9,67.9,34.1,4.79,316.375,1020.5535714285716,65.575
2023-11-03,5253,418,1,1,329,-51.2,30.0,4.1,8.8,81.2,68.3,34.3,5.76,323.5,648.5714285714284,53.662499999999994
2023-11-03,5325,140,2,1,275,-55.9,30.7,7.8,14.6,86.6,64.2,32.7,4.85,347.125,1011.5535714285712,68.7375
2023-11-03,5325,140,3,1,264,-55.4,30.2,8.4,14.5,85.6,62.7,33.7,5.71,348.625,1666.8392857142856,68.95
2024-03-13,5253,825,3,1,329,-50.9,26.2,6.1,8.6,77.1,62.4,33.4,5.23,318.625,78.26785714285711,65.0125
2024-03-13,5324,663,1,1,299,-58.7,28.4,8.0,9.8,87.1,69.3,33.0,5.64,341.625,534.8392857142857,67.3875
2024-03-13,5253,825,1,1,324,-51.6,26.2,6.0,9.6,77.8,62.2,33.4,5.52,325.0,64.85714285714282,65.525
2024-03-13,5324,663,3,1,274,-57.2,28.1,7.2,10.4,85.3,67.7,32.7,5.21,315.0,865.7142857142845,66.2625
2024-03-13,5324,663,2,1,293,-57.3,28.7,7.8,10.6,86.0,67.6,33.2,5.45,340.625,674.8392857142857,66.9875
2024-03-13,5253,825,2,1,291,-51.1,25.6,6.2,9.8,76.7,60.7,33.5,5.26,308.125,202.98214285714283,64.3125
2024-03-13,5325,678,1,1,333,-61.6,29.1,6.7,12.4,90.7,71.6,33.7,5.7,360.25,398.7857142857141,69.8875
2024-03-13,5325,678,2,1,315,-61.5,29.1,6.8,12.5,90.6,71.3,32.5,5.41,339.125,271.8392857142856,70.55
2024-03-13,5325,678,3,1,324,-61.4,28.7,7.4,11.7,90.1,71.0,33.1,5.44,351.25,643.0714285714284,69.1375
2024-04-13,5239,1056,2,1,308,-55.6,28.9,9.1,10.6,84.5,64.8,33.0,5.2,308.0,235.99999999999997,65.575
2024-04-13,5239,1056,1,1,314,-55.8,28.9,8.7,10.9,84.7,65.1,33.5,5.4,316.25,191.07142857142856,65.8125
2024-04-13,5239,1056,3,1,318,-55.8,29.1,8.1,10.5,84.9,66.3,33.0,5.12,303.625,155.12499999999991,65.5125
